timestamp,open,high,low,close,volume,quote_volume,trades,date
1672531200000,9.97,10.02,9.93,9.99,126479.67,1261925.0486,3400,2023-01-01 00:00:00+00:00
1672534800000,9.99,10.07,9.98,10.04,118297.82,1187851.3412,2476,2023-01-01 01:00:00+00:00
1672538400000,10.04,10.09,10.0,10.02,65615.51,658686.044,1633,2023-01-01 02:00:00+00:00
1672542000000,10.02,10.02,9.91,9.97,78106.09,777875.8705,2552,2023-01-01 03:00:00+00:00
1672545600000,9.97,9.99,9.82,9.84,115124.16,1138456.1372,3494,2023-01-01 04:00:00+00:00
1672549200000,9.84,9.85,9.72,9.8,103922.96,1016903.1779,3703,2023-01-01 05:00:00+00:00
1672552800000,9.8,9.84,9.76,9.79,61686.94,604799.3731,1847,2023-01-01 06:00:00+00:00
1672556400000,9.79,9.8,9.69,9.8,121961.04,1189342.9547,3015,2023-01-01 07:00:00+00:00
1672560000000,9.8,9.8,9.7,9.73,92849.89,904206.8452,2468,2023-01-01 08:00:00+00:00
1672563600000,9.73,9.81,9.72,9.8,46132.64,450770.1212,1964,2023-01-01 09:00:00+00:00
1672567200000,9.81,9.81,9.77,9.81,42897.62,420141.0463,1541,2023-01-01 10:00:00+00:00
1672570800000,9.81,9.98,9.8,9.93,237518.96,2355158.6245,6319,2023-01-01 11:00:00+00:00
1672574400000,9.93,9.96,9.89,9.94,89086.69,883710.2327,2658,2023-01-01 12:00:00+00:00
1672578000000,9.95,9.97,9.83,9.86,103935.58,1028848.0756,2837,2023-01-01 13:00:00+00:00
1672581600000,9.86,9.91,9.82,9.85,83678.53,825639.7985,3103,2023-01-01 14:00:00+00:00
1672585200000,9.84,9.88,9.8,9.87,64746.89,636997.6598,2237,2023-01-01 15:00:00+00:00
1672588800000,9.86,9.92,9.85,9.88,79597.24,786428.6209,2538,2023-01-01 16:00:00+00:00
1672592400000,9.87,9.96,9.87,9.94,83974.94,833577.821,2726,2023-01-01 17:00:00+00:00
1672596000000,9.95,10.05,9.95,10.0,162567.4,1625984.3014,4094,2023-01-01 18:00:00+00:00
1672599600000,10.0,10.06,9.94,9.97,99123.34,991347.6246,2788,2023-01-01 19:00:00+00:00
1672603200000,9.97,10.04,9.94,9.97,91726.08,916674.1719,2516,2023-01-01 20:00:00+00:00
1672606800000,9.98,10.0,9.94,9.98,61579.28,614049.7759,1950,2023-01-01 21:00:00+00:00
1672610400000,9.98,10.01,9.96,9.97,39951.19,399015.9484,1765,2023-01-01 22:00:00+00:00
1672614000000,9.98,10.06,9.95,9.99,116952.17,1168977.9909,3128,2023-01-01 23:00:00+00:00
1672617600000,9.99,9.99,9.88,9.91,70540.1,699208.8388,2264,2023-01-02 00:00:00+00:00
1672621200000,9.9,9.94,9.81,9.85,163380.67,1611485.9207,3950,2023-01-02 01:00:00+00:00
